Date,Tornadoes,Fatalities
195001,7,1
195002,27,46
195003,48,47
195004,63,59
195005,124,61
195006,152,67
195007,175,67
195008,188,67
195009,191,67
195010,193,67
195011,197,67
195012,201,70
195101,2,0
195102,12,1
195103,18,1
195104,44,3
195105,101,10
195106,177,19
195107,200,24
195108,227,24
195109,236,32
195110,238,32
195111,250,33
195112,260,34
195201,12,0
195202,39,10
195203,82,219
195204,119,223
195205,153,225
195206,187,228
195207,214,230
195208,230,231
195209,231,231
195210,231,231
195211,237,231
195212,240,231
195301,14,0
195302,30,3
195303,70,27
195304,117,63
195305,211,226
195306,322,470
195307,354,470
195308,378,470
195309,383,470
195310,389,470
195311,401,470
195312,422,519
195401,2,0
195402,19,2
195403,81,12
195404,194,14
195405,295,23
195406,402,28
195407,447,28
195408,496,29
195409,517,32
195410,531,34
195411,533,34
195412,550,36
195501,3,0
195502,7,0
195503,48,5
195504,147,12
195505,295,118
195506,448,120
195507,497,125
195508,530,125
195509,545,127
195510,568,128
195511,588,129
195512,591,129
195601,2,0
195602,49,8
195603,80,9
195604,165,76
195605,244,80
195606,309,80
195607,401,81
195608,443,83
195609,459,83
195610,488,83
195611,495,83
195612,504,83
195701,16,13
195702,21,13
195703,59,14
195704,275,44
195705,503,131
195706,650,145
195707,705,145
195708,725,145
195709,742,147
195710,760,149
195711,819,174
195712,857,193
195801,11,0
195802,31,13
195803,46,13
195804,122,17
195805,190,17
195806,318,60
195807,439,61
195808,485,62
195809,509,63
195810,518,67
195811,563,67
195812,564,67
195901,16,3
195902,36,24
195903,79,33
195904,109,34
195905,335,42
195906,408,44
195907,470,44
195908,508,44
195909,566,58
195910,590,58
195911,600,58
195912,602,58
196001,9,0
196002,37,0
196003,65,0
196004,135,7
196005,336,41
196006,461,44
196007,503,44
196008,551,45
196009,572,45
196010,590,46
196011,615,46
196012,616,46
196101,1,0
196102,32,0
196103,156,7
196104,231,11
196105,368,34
196106,475,36
196107,552,36
196108,579,36
196109,632,51
196110,646,51
196111,682,52
196112,698,52
196201,12,1
196202,37,1
196203,74,18
196204,115,20
196205,315,24
196206,485,24
196207,563,24
196208,614,30
196209,638,30
196210,649,30
196211,654,30
196212,656,30
196301,15,1
196302,20,1
196303,67,9
196304,152,25
196305,223,26
196306,313,26
196307,375,26
196308,401,28
196309,434,31
196310,447,31
196311,462,31
196312,462,31
196401,14,10
196402,16,10
196403,52,16
196404,210,31
196405,345,47
196406,482,47
196407,545,47
196408,624,49
196409,649,49
196410,671,71
196411,688,71
196412,706,73
196501,21,0
196502,54,0
196503,88,2
196504,214,270
196505,488,287
196506,635,294
196507,720,294
196508,781,295
196509,843,295
196510,859,296
196511,893,301
196512,900,301
196601,1,0
196602,29,0
196603,41,58
196604,121,70
196605,219,70
196606,345,89
196607,445,92
196608,503,92
196609,525,92
196610,554,98
196611,574,98
196612,585,98
196701,40,7
196702,48,7
196703,90,10
196704,239,83
196705,355,86
196706,565,92
196707,655,93
196708,683,95
196709,822,100
196710,858,104
196711,866,104
196712,927,114
196801,5,0
196802,12,0
196803,40,0
196804,143,40
196805,288,112
196806,424,123
196807,480,125
196808,546,127
196809,571,127
196810,585,127
196811,629,130
196812,661,131
196901,3,32
196902,8,32
196903,16,33
196904,85,35
196905,229,39
196906,366,46
196907,464,46
196908,534,65
196909,554,65
196910,579,65
196911,584,65
196912,607,66
197001,9,0
197002,25,0
197003,50,2
197004,167,32
197005,255,58
197006,389,64
197007,470,67
197008,525,67
197009,580,67
197010,630,73
197011,640,73
197012,654,73
197101,17,1
197102,102,135
197103,142,137
197104,217,148
197105,385,155
197106,583,156
197107,683,157
197108,733,157
197109,780,157
197110,818,157
197111,834,157
197112,888,159
197201,33,5
197202,40,5
197203,109,5
197204,205,21
197205,345,21
197206,458,30
197207,573,30
197208,632,32
197209,681,32
197210,715,32
197211,732,34
197212,740,34
197301,33,1
197302,43,1
197303,124,18
197304,274,28
197305,524,63
197306,748,66
197307,828,67
197308,879,71
197309,949,74
197310,974,74
197311,1055,86
197312,1104,89
197401,23,2
197402,46,2
197403,84,3
197404,357,320
197405,501,330
197406,695,361
197407,754,361
197408,860,361
197409,885,361
197410,930,366
197411,943,366
197412,951,366
197501,52,12
197502,97,19
197503,181,31
197504,289,44
197505,477,49
197506,673,55
197507,752,57
197508,812,59
197509,846,59
197510,858,59
197511,896,59
197512,918,60
197601,12,0
197602,49,5
197603,231,26
197604,344,27
197605,499,35
197606,668,38
197607,752,40
197608,790,41
197609,825,44
197610,836,44
197611,836,44
197612,837,44
197701,5,0
197702,22,2
197703,86,2
197704,174,28
197705,402,32
197706,534,32
197707,634,33
