yr,mag,inj,fat
1950,3,3,0
1950,3,3,0
1950,3,0,0
1950,3,3,0
1950,1,1,0
1950,3,1,1
1950,2,5,0
1950,2,0,0
1950,2,2,0
1950,2,0,0
1950,3,12,1
1950,2,5,0
1950,2,6,0
1950,2,8,1
1950,1,0,0
1950,2,0,0
1950,1,32,0
1950,2,2,3
1950,1,0,0
1950,3,15,3
1950,2,0,0
1950,4,77,18
1950,2,10,5
1950,3,25,5
1950,2,0,0
1950,2,0,0
1950,1,0,0
1950,1,8,0
1950,2,1,9
1950,2,0,0
1950,1,0,0
1950,2,0,0
1950,1,2,0
1950,2,0,0
1950,0,0,0
1950,2,3,0
1950,3,1,0
1950,2,7,0
1950,3,20,0
1950,2,2,0
1950,2,0,0
1950,2,2,1
1950,1,2,0
1950,2,0,0
1950,2,0,0
1950,2,7,0
1950,2,0,0
1950,2,6,0
1950,1,0,0
1950,2,0,0
1950,1,2,0
1950,1,0,0
1950,2,0,0
1950,3,8,1
1950,2,0,0
1950,1,0,0
1950,1,0,0
1950,3,15,0
1950,2,0,0
1950,1,0,0
1950,1,0,0
1950,3,1,1
1950,1,0,0
1950,4,5,5
1950,4,32,5
1950,2,0,0
1950,2,0,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,2,7,0
1950,1,2,0
1950,0,0,0
1950,1,1,0
1950,2,5,1
1950,1,0,0
1950,2,13,1
1950,1,0,0
1950,2,0,0
1950,1,0,0
1950,2,0,0
1950,4,1,0
1950,3,12,0
1950,1,0,0
1950,2,3,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,2,0,0
1950,2,1,0
1950,2,0,0
1950,2,2,0
1950,1,1,0
1950,1,0,0
1950,2,1,0
1950,1,0,0
1950,1,0,0
1950,2,0,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,0,0,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,2,5,0
1950,2,0,0
1950,1,0,0
1950,2,0,0
1950,2,0,0
1950,1,1,0
1950,1,0,0
1950,3,2,0
1950,0,0,0
1950,0,0,0
1950,1,0,0
1950,0,0,0
1950,2,1,0
1950,1,0,0
1950,2,2,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,1,13,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,3,1,2
1950,0,0,0
1950,1,1,0
1950,3,6,0
1950,1,2,0
1950,1,0,0
1950,1,0,0
1950,4,5,1
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,3,0,0
1950,2,101,0
1950,1,0,0
1950,3,0,0
1950,1,0,0
1950,2,4,0
1950,3,5,0
1950,1,0,0
1950,0,0,0
1950,0,0,0
1950,0,0,0
1950,1,0,0
1950,2,0,0
1950,2,0,1
1950,4,12,2
1950,0,0,0
1950,3,0,0
1950,2,0,0
1950,1,1,0
1950,2,0,0
1950,2,0,0
1950,0,0,0
1950,2,2,0
1950,2,0,0
1950,1,0,0
1950,1,0,0
1950,2,0,0
1950,2,3,0
1950,4,33,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,2,0,0
1950,3,30,0
1950,1,0,0
1950,2,0,0
1950,0,0,0
1950,0,0,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,2,1,0
1950,1,0,0
1950,2,0,0
1950,2,0,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,2,7,0
1950,1,0,0
1950,1,0,0
1950,1,0,0
1950,0,0,0
1950,2,6,0
1950,0,0,0
1950,1,0,0
1950,1,0,0
1950,3,3,0
1950,3,1,0
1950,2,0,0
1950,1,0,0
1950,1,3,0
1950,2,3,1
1950,3,25,2
1950,3,0,0
1950,1,0,0
1951,3,11,0
1951,2,0,0
1951,1,0,0
1951,1,0,0
1951,1,0,0
1951,2,5,0
1951,0,0,0
1951,2,0,0
1951,2,3,0
1951,3,1,1
1951,1,0,0
1951,2,2,0
1951,2,0,0
1951,3,0,0
1951,0,0,0
1951,2,0,0
1951,1,0,0
1951,2,2,0
